case,noalt,alt,choice,traveltime,cost,freq,male,income,cost_coverage
1,3,Car,0,117,65,1,0,2,0
1,3,SM,1,63,52,20,0,2,0
1,3,Train,0,112,48,120,0,2,0
2,2,SM,1,76,70,20,0,1,0
2,2,Train,0,184,62,120,0,1,0
3,3,Car,0,105,40,1,1,2,0
3,3,SM,1,29,35,10,1,2,0
3,3,Train,0,58,32,30,1,2,0
4,3,Car,0,135,80,1,1,3,0
4,3,SM,1,65,45,10,1,3,0
4,3,Train,0,138,40,30,1,3,0
5,2,SM,1,216,72,20,1,3,0
5,2,Train,0,269,70,120,1,3,0
6,3,Car,0,70,35,1,0,3,0
6,3,SM,1,46,38,30,0,3,0
6,3,Train,0,116,35,120,0,3,0
7,3,Car,0,117,140,1,1,1,0
7,3,SM,1,32,49,20,1,1,0
7,3,Train,0,87,42,120,1,1,0
8,3,Car,0,130,30,1,1,3,0
8,3,SM,1,56,34,20,1,3,0
8,3,Train,0,109,26,120,1,3,0
9,3,Car,0,60,32,1,1,2,0
9,3,SM,1,53,28,10,1,2,0
9,3,Train,0,116,24,30,1,2,0
10,2,SM,1,59,46,30,0,1,1
10,2,Train,0,131,42,120,0,1,1
11,2,SM,1,52,38,10,1,2,1
11,2,Train,0,116,32,30,1,2,1
12,2,SM,1,66,42,10,0,2,1
12,2,Train,0,131,36,30,0,2,1
13,2,SM,1,86,40,30,1,1,1
13,2,Train,0,168,37,120,1,1,1
14,3,Car,0,91,100,1,1,2,1
14,3,SM,1,77,38,20,1,2,1
14,3,Train,0,130,31,120,1,2,1
15,2,SM,1,41,31,30,1,2,1
15,2,Train,0,111,26,120,1,2,1
16,3,Car,0,190,80,1,1,2,1
16,3,SM,1,79,66,10,1,2,1
16,3,Train,0,208,62,30,1,2,1
17,3,Car,0,90,20,1,1,2,0
17,3,SM,1,61,26,10,1,2,0
17,3,Train,0,132,23,30,1,2,0
18,3,Car,0,110,32,1,1,3,0
18,3,SM,1,95,27,10,1,3,0
18,3,Train,0,186,24,30,1,3,0
19,3,Car,1,1200,10,1,0,1,0
19,3,SM,0,121,27,30,0,1,0
19,3,Train,0,212,26,120,0,1,0
20,3,Car,0,110,30,1,0,1,1
20,3,SM,1,96,32,30,0,1,1
20,3,Train,0,179,31,120,0,1,1
22,3,Car,1,70,36,1,1,3,1
22,3,SM,0,43,62,10,1,3,1
22,3,Train,0,108,52,30,1,3,1
23,3,Car,0,78,50,1,1,2,1
23,3,SM,1,49,68,20,1,2,1
