iso3,year,energy_cons,gas_price,elec_price,pop,employment_share,gdp,manufact,hdd,cdd
ARE,1965,,,,,,,,,
ARE,1966,,,,,,,,,
ARE,1967,5.406756087702939,,,,,,,,
ARE,1968,6.944712826122133,,,,,,,,
ARE,1969,6.968925272826142,,,,,,,,
ARE,1970,9.605591193075423,,,.234514,.43467692,66494.375,,,
ARE,1971,14.63803011128945,,,.277471,.45706826,77511.25,,,
ARE,1972,15.6501504821279,,,.330974,.48501539,86479.32,,,
ARE,1973,20.29311094607794,,,.394624,.51380646,99334.555,,,
ARE,1974,22.29551113855976,,,.467451,.54220098,115039.09,,,
ARE,1975,23.85920795140727,,,.5483009999999999,.52544129,127634.16,.910603124517689,,
ARE,1976,30.19023585582348,,,.637922,.5288955,154024.11,1.123092520177483,,
ARE,1977,49.63150044941428,,,.735344,.53234965,187114.08,2.744072021589996,,
ARE,1978,57.50081196060357,,,.8355079999999999,.53580385,172906.72,3.432166099890267,,
ARE,1979,67.56038306925709,,,.9317489999999999,.539258,203603.05,3.057567542615425,3.9953098,3353.0898
ARE,1980,108.1564154099415,,,1.019509,.54271227,248221.7,3.72808374268427,4.1392536,3439.5142
ARE,1981,125.9283681062304,,,1.09661,.53313303,246175.25,6.412373069468755,.21869543,3377.438
ARE,1982,135.965984837374,,,1.164806,.52355379,228138.67,7.926872020192577,7.8200579,3067.3677
ARE,1983,130.5152766622816,,,1.228459,.51397461,213884.25,8.769752626789112,14.970312,3045.5203
ARE,1984,162.5467838157216,,,1.293971,.50439537,221126.7,9.144692690109919,2.0085368,3259.8203
ARE,1985,201.6335313476226,,,1.366164,.49481615,208487.66,8.927517174753113,.25391752,3410.8047
ARE,1986,244.3872228564222,,,1.44638,.49965137,174138.17,8.275618544704551,3.1283662,3392.8132
ARE,1987,273.0770907997198,,,1.533536,.50448656,173670.53,8.774491087003721,.39929286,3408.6335
ARE,1988,301.8825172481682,,,1.627066,.50932175,168111.63,8.840712483479514,4.5527039,3435.9248
ARE,1989,340.1649332118733,,,1.725681,.51415694,188546.67,8.166576883154423,10.940468,3264.4883
ARE,1990,344.9527094209783,,,1.828432,.51899219,226935.61,7.493888515782404,3.9907684,3402.5103
ARE,1991,420.8374523509573,,,1.937153,.52382737,229251.98,7.423063916131214,1.9846256,3116.769
ARE,1992,406.6956708770804,,,2.052891,.52866256,238076.42,7.583671501466512,32.703411,3034.7224
ARE,1993,423.4703550812503,,,2.173139,.53349775,198563.7,7.843780607247797,16.44343,3348.55
ARE,1994,464.6741354209235,,,2.294385,.53833294,206008.41,6.587692745821257,.98933905,3378.5151
ARE,1995,484.8710037507644,,,2.41509,.54316819,226304.41,6.772462657191987,.0078061991,3259.751
ARE,1996,499.6879237251831,,,2.539126,.54806131,243801.53,6.637292654028435,1.3829427,3421.0891
ARE,1997,521.4564009705506,,,2.671362,.55295449,265473.16,7.89550062539303,2.445029,3250.3638
ARE,1998,534.1128843659737,,,2.813214,.55784762,247959.45,8.631087314780832,5.1276932,3755.6858
ARE,1999,538.3689705864111,,,2.966034,.5627408,274168.63,8.557489536510966,.000064178639,3732.8623
ARE,2000,535.7819137620945,,,3.134062,.56763393,342881,9.072000292291591,2.0585136,3539.7561
ARE,2001,541.5660278845077,,,3.302719,.56220561,346402.28,13.31375918526562,7.1144609,3651.4211
ARE,2002,591.6931461619778,,,3.478777,.55677724,357401.16,13.06347632035705,2.4094906,3690.2046
ARE,2003,631.1553120229626,,,3.711932,.55134892,385153.41,12.26246107624458,2.8962529,3720.0242
ARE,2004,675.065378525904,,,4.06857,.54592055,419758.91,11.51238291719241,9.3909779,3715.3281
ARE,2005,704.5980758082542,,,4.588225,.54049224,478720.13,10.60803973530805,5.303256,3694.3174
ARE,2006,741.2929621557076,,,5.300174,.55766052,558243.25,9.656954627980332,5.5774879,3732.1868
ARE,2007,818.3610698080623,,,6.168838,.57844025,598077.88,9.025577572564103,8.7430296,3769.1929
ARE,2008,938.4005066374441,,,7.089487,.59558535,648303.06,8.600265388389516,40.016449,3642.2583
ARE,2009,925.5752780323647,,,7.917371999999999,.60719538,549628,9.195377116862174,13.503019,3768.1677
ARE,2010,972.4917253999507,,,8.549987999999999,.6167239,565722.19,8.475421757729819,.28161532,3945.1753
ARE,2011,1020.931337370933,,,8.946776999999999,.61402547,664640.94,8.148293159701014,1.736937,3805.9724
ARE,2012,1074.099781082127,,,9.141596,.61050385,669583.56,8.085036376705645,8.8472033,3887.5613
ARE,2013,1133.244660418951,,,9.19791,.60669434,662725.75,7.925744268335487,3.0068345,3630.2998
ARE,2014,1130.877162859438,,10.6,9.214174999999999,.60663158,685982.44,8.115294537402312,5.5181031,3694.0742
ARE,2015,1227.788768022317,,11.7,9.2629,.60787225,632701.19,9.175893352003696,4.8672824,3981.0132
ARE,2016,1276.312476437135,,12.2,9.36098,.60404754,624780.94,9.327460910593425,3.9823112,3792.0796
ARE,2017,1215.444556763037,,12.3,9.487202999999999,.59662145,647360.5,9.381380823437345,8.9466753,4006
ARE,2018,1150.512996843142,,11,9.630958999999999,.59598559,640754.5,8.925789794820288,.85440856,3970.0144
ARE,2019,1219.067118174555,,10.9,9.770529,.59452605,681525.81,8.867353108048293,.60113257,3865.0654
ARE,2020,1204.675743802686,,,,,,10.29178003600588,5.6225634,3892.1284
ARE,2021,1246.314991434745,,,,,,10.00175150047873,.43688685,4052.866
ARE,2022,1355.694067817677,,,,,,9.82074787855267,1.0564162,3982.8567
ARE,2023,1425.915897619359,,,,,,10.84579034198187,.24830508,3986.8828
ARG,1965,328.5276263786509,,,22.20707736262402,.36657053,81516.109,41.18416017936104,,
ARG,1966,339.1747611390779,,,22.53446117316831,.36567461,81065.375,41.00858488935818,,
ARG,1967,349.0322518057239,,,22.85598088807635,.36495152,84686.625,37.82402724403432,,
ARG,1968,360.8444413573447,,,23.18115592094501,.3642444,87104.523,36.19621883545322,,
ARG,1969,372.9106773397731,,,23.51950948705393,.36340657,94738.727,36.64543033942051,,
ARG,1970,353.4865266069443,,,23.880561,.36230096,96633.688,31.54474365786009,,
ARG,1971,374.7416908144802,,,24.259561,.36005241,101079.76,35.76285896972701,,
ARG,1972,379.4479353265154,,,24.653175,.35769302,103489.29,36.35807353014901,,
ARG,1973,396.4577637026854,,,25.056478,.35530224,109352.66,34.33397466732139,,
ARG,1974,412.2778754778151,,,25.462302,.36236191,114436.41,34.03688521050366,,
ARG,1975,402.5712075384287,,,25.865776,.35900331,113183.22,38.21510828394561,,
ARG,1976,422.7139549348479,,,26.264681,.35381454,111815.68,39.11676032649454,,
ARG,1977,441.4583502001428,,,26.661398,.35799301,116233.63,36.59498673375208,,
ARG,1978,442.1270265346712,,,27.061047,.35592589,112721.63,34.12760920980816,,
ARG,1979,474.6559633104583,,,27.471036,.3567268,123069.52,32.68515767376934,1015.4973,673.5459
ARG,1980,472.019222334664,,,27.896528,.35232243,130205.02,29.47609698984863,1043.96,890.16742
ARG,1981,457.9635003377776,,,28.338515,.34762987,129140.7,28.76523629207426,990.69751,742.65442
ARG,1982,466.5127777048576,,,28.794548,.34753609,129296.82,31.3602562635854,940.24792,785.35388
ARG,1983,485.7636137366616,,,29.262047,.352548,141275.33,30.6694675312814,1183.2644,804.82886
ARG,1984,487.3440520105913,,,29.737093,.35500863,150891.61,29.70844080311536,1199.635,726.16113
ARG,1985,481.6189794385566,,,30.216279,.3519071,144763,29.64184731385485,957.26245,765.5376
ARG,1986,508.8846300945056,,,30.698964,.35660687,164806.42,27.41959715948358,938.47546,781.5368
ARG,1987,531.8371790913039,,,31.184415,.3583698,177125.89,27.49664628004955,1079.095,784.26123
ARG,1988,540.7378953977709,,,31.668949,.35985151,185694.28,27.99967585672867,1239.4445,790.28528
ARG,1989,521.440851117301,,,32.148134,.3576031,182602.88,30.94937188837369,986.41931,857.89978
ARG,1990,513.0216942922772,,,32.618651,.36210814,196718.69,26.78970455218088,1061.7742,752.82526
ARG,1991,521.3471541484408,,,33.079,.36853236,236273.55,24.38644909323351,1024.9568,712.49402
ARG,1992,559.3093698015424,,,33.529326,.36940601,284181.97,21.85913155866027,1129.8378,703.84186
ARG,1993,577.8425898071552,,,33.970111,.36340809,326765.25,18.23991153254958,1148.9395,753.95642
ARG,1994,608.7611972684244,,,34.402672,.36090747,381534,17.81909171068987,955.77222,810.44348
ARG,1995,628.2364613771707,,,34.82817,.33982015,423577.25,17.24675211480758,1093.6042,771.50439
